"id","description"
"16874","JUNIOR WITH 1 KING SIZE BED"
"14011","JUNIORSUITE   PROMOTION"
"12560","KAI DOUBLE ROOM"
"16891","KING"
"12675","KING DELUXE PATIO VIEW"
"11631","KING DELUXE PATIO VIEW ROOM...COMP WIFI"
"6580","KING DELUXE ROOM AROMATHERAPY,1 KING BED,NONSMOKING"
"6622","KING DELUXE ROOM WITH CITY VIEW AROMATHERAPY,1 KING BED,NONSMOKING"
"11646","KING DELUXE ROOM WITH PARK VIEW...COMP"
"12688","KING DELUXE ROOM WITH PRIVATE TERRACE"
"11623","KING DELUXE ROOM...COMP WIFI/LCD SAT TV"
"15851","KING DELUXE WITH PARK VIEW 1 CAMA KING SIZE"
"671","KING GUEST ROOM (BALCONY)"
"12653","KING PATIO VIEW ROOM"
"11602","KING PATIO VIEW ROOM WITH BALCONY...FUL"
"12670","KING PREMIUM ROOM"
"12689","KING PREMIUM ROOM WITH PARK VIEW"
"11647","KING PREMIUM ROOM WITH PRIVATE TERRACE."
"15857","KING PREMIUM WITH TERRACE 1 CAMA KING SIZE"
"16849","KING ROOM"
"663","KING ROOM (CITYVIEW)"
"666","KING ROOM (POOLVIEW)"
"15315","KING ROOM STREET VIEW"
"776","KING ROOM WITH JACUZZI"
"15801","KING ROOM WITH STREET VIEW 1 CAMA KING SIZE"
"11601","KING ROOM WITH STREET VIEW...FULL LENGT"
"14945","KING SUITE WITH POOL VIEW   SINGLE OCCUPANCY   BREAKFAST INCLUDED IN THE PRICE"
"16734","KING SUPERIOR"
"12652","KING SUPERIOR ROOM"
"16930","KRAZY SUPER SAVER   KINGSIZE BED"
"3210","L ROOM WITH POOL VIEW (3 ADULTS)"
"3215","L ROOM WITH SEA VIEW (3 ADULTS)"
"9311","L'UNIQUE,1 QUEEN BED,NONSMOKING + MEMBER’S PRICE: 21%"
"13890","LANDMARK TWIN ROOM"
"11894","LARGE BEDROOM WITH DOUBLE BED AND BALCONY, WITH VIEW OF THE CITY OF LISBON"
"12198","LARGE BEDROOM WITH DOUBLE BED AND BALCONY, WITH VIEW OF THE CITY OF LISBON."
"1393","LARGE DUPLEX APARTMENT"
"12389","LISBOA ROOM"
"11277","LISBOA ROOM  2 TWIN BEDS"
"15828","LISBOA ROOM 1 CAMA DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 30%"
"15829","LISBOA ROOM 2 CAMAS INDIVIDUAIS <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 30%"
"13225","LOFT"
"14590","LOFT BÁSICO, 1 CAMA DE MATRIMONIO, BAÑO PRIVADO"
"16430","LOFT BÁSICO, 1 CAMA QUEEN SIZE, CASA DE BANHO PRIVATIVA + PROMOÇÃO PRIVADA: POUPE 5%"
"16432","LOFT BÁSICO, 1 CAMA QUEEN SIZE, CASA DE BANHO PRIVATIVA <U>PACKAGE RATE</U>"
"13869","LOFT ROOM"
"6475","LOUVRE PRESTIGE ROOM,1 DOUBLE BED,NONSMOKING + BOOK NOW AND SAVE"
"9455","LOUVRE PRESTIGE ROOM,1 DOUBLE BED,NONSMOKING + SAVE10%"
"6476","LOUVRE PRESTIGE ROOM,2 TWIN BEDS,NONSMOKING + BOOK NOW AND SAVE"
"9456","LOUVRE PRESTIGE ROOM,2 TWIN BEDS,NONSMOKING + SAVE10%"
"16851","LUXE"
"6584","LUXURY APARTMENT, ENSUITE,1 KING BED,NONSMOKING"
"13403","LUXURY DUPLEX SUITE WITH PANORAMIC RIVER  CITY AND CASTLE VIEW   BREAKFAST INCLUDED IN THE PRICE"
"13373","LUXURY DUPLEX SUITE WITH PANORAMIC RIVER  CITY AND CASTLE VIEW   NON REFUNDABLE"
"12004","LUXURY DUPLEX SUITE WITH PANORAMIC RIVER  CITY AND CASTLE VIEW  BREAKFAST INCLUDED IN THE PRICE"
"11976","LUXURY DUPLEX SUITE WITH PANORAMIC RIVER  CITY AND CASTLE VIEW  NONREFUNDABLE"
"12984","LUXURY RIVER SUITE"
"14662","LUXURY RIVER SUITE    NO REEMBOLSABLE"
"14658","LUXURY RIVER SUITE   TARIFA EMPAQUETADA    NO REEMBOLSABLE"
"11331","LUXURY ROOM 1 KING BED"
"11322","LUXURY ROOM 1 KING BED NONREFUNDABLE"
"12403","LUXURY ROOM, 1 KING SIZE BED"
"12438","LUXURY ROOM, 1 KING SIZE BED + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"14155","LUXURY SUITE"
