id,nombre,category_id,category,text_length,word_count,has_bed_info,has_rate_info,has_apartment,has_family_room,has_studio,has_shared_room,has_suite,has_junior_suite,has_premium_room,has_deluxe_room,has_superior_room,has_quadruple_room,has_triple_room,has_double_room,has_standard_room,has_classic_room
12787,(AM1K) GRAND ONE BEDROOM SUITE KING,4,SUITE,35,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12791,(CNSK)  ALMADA NEGREIROS KING BED,12,STANDARD ROOM,33,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12777,(D2S) DELUXE RM TWIN BEDS,7,DELUXE ROOM,25,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12785,(FR2S) FOUR SEASONS JUNIOR STE 2 TWINS,5,JUNIOR SUITE,38,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12786,(FRK) FOUR SEASONS JUNIOR STE KING BED,5,JUNIOR SUITE,38,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12790,(LX1K) PEDRO LEITAO SUITE KING BED,4,SUITE,34,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12782,(P2S) PREMIER TWIN ROOM,6,PREMIUM ROOM,23,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12781,(PK) PREMIER KING ROOM,6,PREMIUM ROOM,22,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12789,(RO1K) ROYAL SUITE KING BED,4,SUITE,27,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12774,(SU2S) SUPERIOR ROOM TWIN BEDS,8,SUPERIOR ROOM,30,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12775,(SUQ) SUPERIOR ROOM QUEEN,8,SUPERIOR ROOM,25,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12685,01 DELUXE ROOM,7,DELUXE ROOM,14,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12702,02 CLUB ROOM,12,STANDARD ROOM,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12730,04 JUNIOR SUITE,5,JUNIOR SUITE,15,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12736,05 STUDIO SUITE,2,STUDIO,15,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5824,1 BEDROOM APARTMENT,0,APARTMENT,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5822,1 BEDROOM APARTMENT + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,0,APARTMENT,65,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5835,1 BEDROOM APARTMENT 3 PAX + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,0,APARTMENT,71,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14121,1 BEDROOM APARTMENT NON REFUNDABLE,0,APARTMENT,34,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14123,1 BEDROOM APARTMENT RIVER VIEW NON REFUNDABLE,0,APARTMENT,45,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14108,1 BEDROOM COMFORT APARTMENT,0,APARTMENT,27,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14107,1 BEDROOM COMFORT APARTMENT NON REFUNDABLE,0,APARTMENT,42,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
