id,nombre
12787,(AM1K) GRAND ONE BEDROOM SUITE KING
12791,(CNSK)  ALMADA NEGREIROS KING BED
12777,(D2S) DELUXE RM TWIN BEDS
12785,(FR2S) FOUR SEASONS JUNIOR STE 2 TWINS
12786,(FRK) FOUR SEASONS JUNIOR STE KING BED
12790,(LX1K) PEDRO LEITAO SUITE KING BED
12782,(P2S) PREMIER TWIN ROOM
12781,(PK) PREMIER KING ROOM
12789,(RO1K) ROYAL SUITE KING BED
12774,(SU2S) SUPERIOR ROOM TWIN BEDS
12775,(SUQ) SUPERIOR ROOM QUEEN
12685,01 DELUXE ROOM
12702,02 CLUB ROOM
12730,04 JUNIOR SUITE
12736,05 STUDIO SUITE
5824,1 BEDROOM APARTMENT
5822,1 BEDROOM APARTMENT + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED
5835,1 BEDROOM APARTMENT 3 PAX + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED
14121,1 BEDROOM APARTMENT NON REFUNDABLE
14123,1 BEDROOM APARTMENT RIVER VIEW NON REFUNDABLE
14108,1 BEDROOM COMFORT APARTMENT
14107,1 BEDROOM COMFORT APARTMENT NON REFUNDABLE
13540,1 BEDROOM DELUXE APARTMENT
14105,1 BEDROOM SINGLE APARTMENT
11085,1 BEDROOM SUITE
12187,1 BEDROOM SUITE + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED
17015,1 BEDROOM SUITE FLASH SALE
12773,1 BEDROOM SUITE OCEAN VIEW
11170,1 BEDROOM SUITE SEA VIEW
12266,1 BEDROOM SUITE SEA VIEW + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED
13531,1 BEDROOM SUPERIOR APARTMENT
14090,1 BEDROOM SUPERIOR APARTMENT NON REFUNDABLE
11079,1 DOUBLE BED  DELUXE VILLAGE VIEW  NONSMOKING
11107,1 DOUBLE BED  PREMIUM LATERAL OCEAN VIEW  NONSMOKING
11128,1 DOUBLE BED  PREMIUM OCEAN FRONT  NONSMOKING
11173,1 DOUBLE BED  PREMIUM OCEAN VIEW JUNIOR SUITE  NONSMOKING
162,1 DOUBLE BED 2 ADULTS
12173,1 DOUBLE BED DELUXE VILLAGE VIEW NON SMOKING
12199,1 DOUBLE BED PREMIUM LATERAL OCEAN VIEW NON SMOKING
12290,1 DOUBLE BED PREMIUM OCEAN FRONT HIGH FLOOR/NON SMOKING
12260,1 DOUBLE BED PREMIUM OCEAN VIEW JUNIOR SUITE NON SMOKING
11479,1 DOUBLE BED STANDARD
14171,1 DOUBLE BED STANDARD    NO REEMBOLSABLE
12143,1 DOUBLE BED STANDARD CITY VIEW
11494,1 DOUBLE BED STANDARD SINGLE SOFA BED
12119,1 DOUBLE BED STANDARD SMOKING
14169,1 DOUBLE BED STANDARD SMOKING    NO REEMBOLSABLE
14174,1 DOUBLE BED STANDARD SMOKING   TARIFA EMPAQUETADA    NO REEMBOLSABLE
12149,1 DOUBLE BED STANDARD SOFA BED
11903,1 DOUBLE BED STANDARD WITH SOFA BED
11415,1 DOUBLE STANDARD
14376,1 DOUBLE STANDARD    NO REEMBOLSABLE
1298,1 DOUBLE STANDARD ACCESSIBLE
1300,1 DOUBLE STANDARD SINGLE SOFA BED
1299,1 DOUBLE STANDARD SOFA BED
14377,1 DOUBLE STANDARD SOFA BED    NO REEMBOLSABLE
11360,1 KING  JUNIOR SUITE PARK VIEW
11594,1 KING BED 1 BEDROOM SUITE SOFA BED
16895,1 KING BED JUNIOR SUITE NON SMOKING
16919,1 KING BED JUNIOR SUITE NON SMOKING   TARIFA EMPAQUETADA
16905,1 KING BED JUNIOR SUITE NON SMOKING + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED
16888,1 KING BED NON SMOKING
16917,1 KING BED NON SMOKING   TARIFA EMPAQUETADA
