id,nombre,category_real
12787,(AM1K) GRAND ONE BEDROOM SUITE KING,SUITE
12791,(CNSK)  ALMADA NEGREIROS KING BED,STANDARD ROOM
12777,(D2S) DELUXE RM TWIN BEDS,DELUXE ROOM
12785,(FR2S) FOUR SEASONS JUNIOR STE 2 TWINS,SUITE
12786,(FRK) FOUR SEASONS JUNIOR STE KING BED,SUITE
12790,(LX1K) PEDRO LEITAO SUITE KING BED,SUITE
12782,(P2S) PREMIER TWIN ROOM,STANDARD ROOM
12781,(PK) PREMIER KING ROOM,STANDARD ROOM
12789,(RO1K) ROYAL SUITE KING BED,SUITE
12774,(SU2S) SUPERIOR ROOM TWIN BEDS,SUPERIOR ROOM
12775,(SUQ) SUPERIOR ROOM QUEEN,SUPERIOR ROOM
12685,01 DELUXE ROOM,DELUXE ROOM
12702,02 CLUB ROOM,STANDARD ROOM
12730,04 JUNIOR SUITE,JUNIOR SUITE
12736,05 STUDIO SUITE,SUITE
5824,1 BEDROOM APARTMENT,APARTMENT
5822,1 BEDROOM APARTMENT + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,APARTMENT
5835,1 BEDROOM APARTMENT 3 PAX + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,APARTMENT
14121,1 BEDROOM APARTMENT NON REFUNDABLE,APARTMENT
14123,1 BEDROOM APARTMENT RIVER VIEW NON REFUNDABLE,APARTMENT
14108,1 BEDROOM COMFORT APARTMENT,APARTMENT
14107,1 BEDROOM COMFORT APARTMENT NON REFUNDABLE,APARTMENT
13540,1 BEDROOM DELUXE APARTMENT,DELUXE ROOM
14105,1 BEDROOM SINGLE APARTMENT,APARTMENT
11085,1 BEDROOM SUITE,SUITE
12187,1 BEDROOM SUITE + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,SUITE
17015,1 BEDROOM SUITE FLASH SALE,SUITE
12773,1 BEDROOM SUITE OCEAN VIEW,SUITE
11170,1 BEDROOM SUITE SEA VIEW,SUITE
12266,1 BEDROOM SUITE SEA VIEW + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED,SUITE
13531,1 BEDROOM SUPERIOR APARTMENT,SUPERIOR ROOM
14090,1 BEDROOM SUPERIOR APARTMENT NON REFUNDABLE,SUPERIOR ROOM
11079,1 DOUBLE BED  DELUXE VILLAGE VIEW  NONSMOKING,DELUXE ROOM
11107,1 DOUBLE BED  PREMIUM LATERAL OCEAN VIEW  NONSMOKING,PREMIUM ROOM
11128,1 DOUBLE BED  PREMIUM OCEAN FRONT  NONSMOKING,PREMIUM ROOM
11173,1 DOUBLE BED  PREMIUM OCEAN VIEW JUNIOR SUITE  NONSMOKING,JUNIOR SUITE
162,1 DOUBLE BED 2 ADULTS,DOUBLE ROOM
